date_iso,added_ticker,added_security,removed_ticker,removed_security,reason
2026-05-07,VEEV,Veeva Systems,CTRA,Coterra Energy,S&P 500 constituent Devon Energy Corp. is acquiring Coterra Energy.
2026-04-09,CASY,Casey's,HOLX,Hologic,Blackstone Inc. and TPG Inc. acquired Hologic.
2026-03-23,VRT,Vertiv,MTCH,Match Group,Market capitalization change.
2026-03-23,LITE,Lumentum,MOH,Molina Healthcare,Market capitalization change.
2026-03-23,COHR,Coherent Corp.,LW,Lamb Weston,Market capitalization change.
2026-03-23,SATS,EchoStar,PAYC,Paycom,Market capitalization change.
2026-02-09,CIEN,Ciena,DAY,Dayforce,Thoma Bravo L.P. acquired Dayforce.
2025-12-22,CRH,CRH,LKQ,LKQ Corporation,Market capitalization change.
2025-12-22,CVNA,Carvana,SOLS,Solstice Advanced Materials,Market capitalization change.
2025-12-22,FIX,Comfort Systems USA,MHK,Mohawk Industries,Market capitalization change.
2025-12-11,ARES,Ares Management,K,Kellanova,Mars Inc. acquired Kellanova.
2025-11-28,SNDK,Sandisk,IPG,Interpublic Group,S&P 500 constituent Omnicom Group Inc. acquired (The) Interpublic Group.
2025-11-04,,,EMN,Eastman Chemical Co.,Market capitalization change.
2025-11-03,Q,Qnity Electronics,,,"S&P 500 constituent Dupont de Nemours, Inc. spun off Qnity Electronics."
2025-10-31,,,KMX,CarMax,Market capitalization change.
2025-10-30,SOLS,Solstice Advanced Materials,,,S&P 500 and S&P 100 constituent Honeywell International Inc. spun off Solstice Advanced Materials.
2025-09-22,EME,Emcor,ENPH,Enphase Energy,Market capitalization change.
2025-09-22,HOOD,Robinhood Markets,CZR,Caesars Entertainment,Market capitalization change.
2025-09-22,APP,AppLovin,MKTX,MarketAxess,Market capitalization change.
2025-08-28,IBKR,Interactive Brokers,WBA,Walgreens Boots Alliance,Sycamore Partners acquired Walgreen Boots Alliance.
2025-07-23,XYZ,"Block, Inc.",HES,Hess Corporation,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation
2025-07-18,TTD,Trade Desk (The),ANSS,Ansys,S&P 500 constituent Synopsys Inc. acquired Ansys.
2025-07-09,DDOG,Datadog,JNPR,Juniper Networks,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.
2025-05-19,COIN,Coinbase,DFS,Discover Financial,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.
2025-03-24,DASH,DoorDash,BWA,BorgWarner,Market capitalization change.
2025-03-24,TKO,TKO Group Holdings,TFX,Teleflex,Market capitalization change.
2025-03-24,WSM,"Williams-Sonoma, Inc.",CE,Celanese,Market capitalization change.
2025-03-24,EXE,Expand Energy,FMC,FMC Corporation,Market capitalization change.
2024-12-23,APO,Apollo Global Management,QRVO,Qorvo,Market capitalization change.
2024-12-23,WDAY,"Workday, Inc.",AMTM,Amentum,Market capitalization change.
2024-12-23,LII,Lennox International,CTLT,Catalent,Novo Holdings A/S acquired Catalent.
2024-11-26,TPL,Texas Pacific Land Corporation,MRO,Marathon Oil,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.
2024-10-01,,,BBWI,"Bath & Body Works, Inc.",Market capitalization change.
2024-09-30,AMTM,Amentum,,,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings."
2024-09-23,PLTR,Palantir Technologies,AAL,American Airlines Group,Market capitalization change.
2024-09-23,DELL,Dell Technologies,ETSY,Etsy,Market capitalization change.
2024-09-23,ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories,Market capitalization change.
2024-06-24,KKR,KKR,RHI,Robert Half,Market capitalization change.
2024-06-24,CRWD,CrowdStrike,CMA,Comerica,Market capitalization change.
2024-06-24,GDDY,GoDaddy,ILMN,"Illumina, Inc.",Market capitalization change.
2024-05-08,VST,Vistra,PXD,Pioneer Natural Resources,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.
2024-04-03,,,XRAY,Dentsply Sirona,Market capitalization change.
2024-04-03,,,VFC,VF Corporation,Market capitalization change.
2024-04-02,GEV,GE Vernova,,,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.
2024-04-01,SOLV,Solventum,,,S&P 500 and 100 constituent 3M Co. spun off Solventum.
2024-03-18,SMCI,Supermicro,WHR,Whirlpool Corporation,Market capitalization change.
2024-03-18,DECK,Deckers Brands,ZION,Zions Bancorporation,Market capitalization change.
2023-12-18,UBER,Uber,SEE,Sealed Air,Market capitalization change.
2023-12-18,JBL,Jabil,ALK,Alaska Air Group,Market capitalization change.
2023-12-18,BLDR,Builders FirstSource,SEDG,SolarEdge,Market capitalization change.
2023-10-18,HUBB,Hubbell,OGN,Organon & Co.,Market capitalization change.
2023-10-18,LULU,Lululemon Athletica,ATVI,Activision Blizzard,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.
2023-10-03,,,DXC,DXC Technology,Market capitalization change.
2023-10-02,VLTO,Veralto,,,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.
2023-09-18,BX,Blackstone,LNC,Lincoln National Corporation,Market capitalization change.
2023-09-18,ABNB,Airbnb,NWL,Newell Brands,Market capitalization change.
2023-08-25,KVUE,Kenvue,AAP,Advance Auto Parts,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.
2023-06-20,PANW,Palo Alto Networks,DISH,Dish Network,Market capitalization change.
2023-05-04,AXON,Axon Enterprise,FRC,First Republic Bank,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.
2023-03-20,FICO,Fair Isaac,LUMN,Lumen Technologies,Market capitalization change.
2023-03-15,BG,Bunge Global,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.
2023-03-15,PODD,Insulet,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership."
2023-01-05,,,VNO,Vornado Realty Trust,Market capitalization change.
2023-01-04,GEHC,GE HealthCare,,,S&P 500 constituent General Electric spun off GE HealthCare.
2022-12-22,STLD,Steel Dynamics,ABMD,Abiomed,S&P 500 constituent Johnson & Johnson acquired Abiomed.
2022-12-19,FSLR,First Solar,FBHS,Fortune Brands Home & Security,Market capitalization change.
2022-12-19,,,MBC,MasterBrand,Market capitalization change.
2022-12-15,MBC,MasterBrand,,,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.
2022-11-01,ACGL,Arch Capital Group,TWTR,Twitter,Elon Musk acquired Twitter.
2022-10-12,TRGP,Targa Resources,NLSN,Nielsen Holdings,Elliot Management Corp acquired Nielsen Holdings.
